mag,mag_error,time
1.955537978507854,0.004274350196299895,2459406.5170077314
1.9092551068477395,0.013254525538247684,2459405.791908692
2.0057186340159365,0.0291743433691767,2459405.5124716437
1.9152439829067092,0.003131171407835799,2459410.7955685994
1.8658733296271315,0.0016252564603974414,2459411.083542234
1.8503440571155672,0.0016390972085622688,2459406.8138682293
1.9331335252439725,0.003405188373779465,2459410.9168845834
1.8942516735942831,0.003172743990204212,2459410.666835891
1.8500945470224277,0.0016530123516416057,2459408.808402014
1.7326451361359982,0.001523026768839657,2459409.805860185
