mag,mag_error,time
1.6715789962263194,0.003132702885302982,2021-07-11T00:24:29.468
1.605785197051973,0.009410794088793546,2021-07-10T07:00:20.911
1.7683664879970191,0.02245323424864982,2021-07-10T00:17:57.550
1.7619637743404954,0.0026560974473340796,2021-07-15T07:05:37.127
1.738841869725718,0.0014172508558946686,2021-07-15T14:00:18.049
1.7149757417258247,0.0014157936572728154,2021-07-11T07:31:58.215
1.7530172091502827,0.0028037574881695257,2021-07-15T10:00:18.828
1.6629624696667715,0.0024685050008256093,2021-07-15T04:00:14.621
1.718246652561474,0.0014332119744380851,2021-07-13T07:24:05.934
1.6383984866797476,0.0013731011977135416,2021-07-14T07:20:26.320
